source_sheet,source_row,retailer,product_id,product,forecast_total_cases,promo_id,promotion_type,description
2025,966,CG-SOBEY'S ROC,TDHBMX-48/10,HB MIX DISPLAYER 48/10EA,0.0,000HOE1OJ,Display Allowance,TD Sobeys ROC On-going DISPLAY ALLOWANCE
2025,967,CG-SOBEY'S ROC,TDHBMX-36/1,HB MIX DISPLAYER 36/1EA,0.0,000HOE1OJ,Display Allowance,TD Sobeys ROC On-going DISPLAY ALLOWANCE
2025,2987,NA-HOME HARDWARE,6320920674,TDL KCUP WINTER/HC/FVC DISPLAY 48/10 CT,27.0,000HWGA43,Display Allowance,TD HH LTO Display Allowance  OI
2025,4371,NA-MCKESSON,TDGB-56/5,GRANOLA BAR 56/5EA,46.0,000HJDBI1,Trade Show,TD - PHARMACHOICE TRADE SHOW (Ship #1)
2025,4420,NA-MCKESSON,TDHBMX-36/1,HB MIX DISPLAYER 36/1EA,25.0,000HJEFZ1,Trade Show,TD - PHARMACHOICE TRADE SHOW (Ship #2)
2025,4421,NA-MCKESSON,TDGB-56/5,GRANOLA BAR 56/5EA,27.0,000HJEFZ1,Trade Show,TD - PHARMACHOICE TRADE SHOW (Ship #2)
2025,4549,NA-METRO ONTARIO,TDHBHC-36/1,HB HOT CHOCOLATE 36/1 EA,0.0,000HJE7WU,Display,TD MO Metro  TPR - Hot Choc PPK Displayer P5 & P6
2025,4741,NA-METRO ONTARIO,TDHBHC-36/1,HB HOT CHOCOLATE 36/1 EA,140.0,000IORB5A,Display,TD FB P2 Hot Chocolate 500g NHL ISF
2025,4771,NA-METRO ONTARIO,TDHBHC-36/1,HB HOT CHOCOLATE 36/1 EA,80.0,000IORB4N,Display,TD - FB P3 Holiday HC 12ct ISF
2025,5923,NA-PRATTS WHSL,6320914293,TDL GRANOLA BAR AF/DC/SC DISP 56/5 EA,29.0,000HJDAAN,Flyer,"TD - PRATTS Jan Kcup, HC, Granola,display booking"
2025,6008,NA-PRATTS WHSL,TDGB-56/5,GRANOLA BAR 56/5EA,0.0,000HJE2EO,Flyer,TD - PRATTS Apr TPR Tins 30ct Soups 12ct Instant Bg Wk14-17
2025,6411,NA-WAL-MART,6320924394,TDL HOT CHOC/FVC 1/2 DRP 150/1 EA,143.0,000HR9Z6G,Flyer & Display,TD WM HC Large WK45-48 ($1) EXT 2026
2026,956,CG-SOBEY'S ROC,TDHBMX-48/10,HB MIX DISPLAYER 48/10EA,0.0,000ISEWBL,Display Allowance,TD Sobeys ROC On-going DISPLAY ALLOWANCE
2026,957,CG-SOBEY'S ROC,TDHBMX-36/1,HB MIX DISPLAYER 36/1EA,0.0,000ISEWBL,Display Allowance,TD Sobeys ROC On-going DISPLAY ALLOWANCE
2026,2605,NA-HOME HARDWARE,6320920674,TDL KCUP WINTER/HC/FVC DISPLAY 48/10 CT,27.0,000ITZNHX,Display Allowance,TD HH LTO Display Allowance  OI Ends Jan 31
2026,3417,NA-MCKESSON,6320917215,TDL GRANOLA BAR BC/DC/SC DISP 56/5 EA,25.0,000ITZ3M7,Trade Show,TD PHARMACHOICE TRADE SHOW (Ship #1)
2026,3455,NA-MCKESSON,6320915034,TDL HOT BEVERAGE MIX DISPLAYER 36/1 EA,25.0,000ITZ1NU,Trade Show,TD PHARMACHOICE TRADE SHOW (Ship #2)
2026,3456,NA-MCKESSON,6320917215,TDL GRANOLA BAR BC/DC/SC DISP 56/5 EA,25.0,000ITZ1NU,Trade Show,TD PHARMACHOICE TRADE SHOW (Ship #2)
2026,4659,NA-PRATTS WHSL,6320917215,TDL GRANOLA BAR BC/DC/SC DISP 56/5 EA,10.0,000ITYDX6,Flyer,"TD - PRATTS Jan Kcup, HC, Granola,display booking"
2026,4881,NA-WAL-MART,6320925922,TDL INST MED/IC SYR CAP/MOC 1/2DRP 288EA,500.0,000IVDMGA,Flyer & Display,TD WM Instant - July/Aug Iced W Syrups
2026,4910,NA-WAL-MART,6320924394,TDL HOT CHOC/FVC 1/2 DRP 150/1 EA,200.0,000IVDNFQ,Flyer & Display,TD WM HC LARGE - WK37-WK40 ($1) NHL
2026,4933,NA-WAL-MART,6320924394,TDL HOT CHOC/FVC 1/2 DRP 150/1 EA,200.0,000IVDNIB,Flyer & Display,TD WM HC Large WK45-48 ($1) EXT 2026
